City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
121,teguldet,57.3064,88.1667,-2.25,93,100,5.15,RU,1667760140
122,saint-leu,-21.15,55.2833,22.48,78,85,1.57,RE,1667760141
123,ayagoz,47.9714,80.4392,5.48,85,100,0.29,KZ,1667760141
124,esperance,-33.8667,121.9,14.87,83,100,6.01,AU,1667760143
125,rocha,-34.4833,-54.3333,20.8,55,38,6.69,UY,1667760143
126,saint-joseph,-21.3667,55.6167,22.21,82,93,3.29,RE,1667760144
127,timra,62.487,17.3257,6.49,100,100,1.54,SE,1667760144
128,seddon,-37.8068,144.8916,14.86,84,0,4.12,AU,1667760145
129,harboore,56.6175,8.1807,10.64,95,100,12.26,DK,1667760145
130,airai,-8.9266,125.4092,15.66,75,92,0.77,TL,1667760145
131,atasu,48.6814,71.6433,-1.4,70,62,1.33,KZ,1667760146
132,dikson,73.5069,80.5464,-12.81,92,100,4.15,RU,1667760146
133,tuatapere,-46.1333,167.6833,9.41,73,53,2.86,NZ,1667760147
134,le vauclin,14.5452,-60.8388,28.25,83,75,5.66,MQ,1667760147
135,chebsara,59.2002,38.8356,-2.37,85,100,4.93,RU,1667760148
136,oistins,13.0667,-59.5333,29.05,74,20,5.14,BB,1667760003
137,chokurdakh,70.6333,147.9167,-14.92,94,100,6.89,RU,1667760149
138,vanavara,60.34,102.2797,-8.0,98,100,1.48,RU,1667760149
139,kaitangata,-46.2817,169.8464,9.02,71,9,3.03,NZ,1667760150
140,tarakan,3.3,117.6333,25.72,94,40,1.03,ID,1667760150
141,broome,42.2506,-75.833,23.99,74,75,8.23,US,1667760150
142,nikolskoye,59.7035,30.7861,2.11,98,99,3.37,RU,1667760151
143,namibe,-15.1961,12.1522,21.24,65,2,6.13,AO,1667760151
144,mocuba,-16.8392,36.9856,26.71,64,92,2.44,MZ,1667760152
145,ponta delgada,37.7333,-25.6667,19.72,77,20,3.6,PT,1667760152
146,zamora,-4.0692,-78.9567,30.58,62,32,2.34,EC,1667760153
147,turukhansk,65.8167,87.9833,-6.44,96,100,3.85,RU,1667760154
148,nakhon phanom,17.3333,104.4167,18.02,87,8,1.81,TH,1667760155
149,mezen,65.8522,44.24,-1.77,87,100,4.28,RU,1667760155
150,cabedelo,-6.9811,-34.8339,29.37,69,72,5.51,BR,1667760156
151,fethiye,36.6217,29.1164,19.93,70,100,2.29,TR,1667760124
152,tecoanapa,16.5167,-98.75,29.53,68,11,3.86,MX,1667760157
153,westport,41.1415,-73.3579,23.75,74,20,5.66,US,1667760032
154,kochi,9.9399,76.2602,25.01,95,100,2.2,IN,1667760157
155,maine-soroa,13.2114,12.0241,26.42,16,100,3.45,NE,1667760158
156,henties bay,-22.116,14.2845,20.07,58,100,10.22,NA,1667760158
157,adrar,20.5022,-10.0711,25.79,14,54,2.74,MR,1667760159
158,metro,-5.1131,105.3067,23.23,92,100,1.66,ID,1667760160
159,cherskiy,68.75,161.3,-19.44,96,80,2.45,RU,1667760161
160,conde,-7.2597,-34.9075,28.7,65,75,5.14,BR,1667760162
161,lagoa,39.05,-27.9833,17.75,74,52,9.68,PT,1667760163
162,merauke,-8.4667,140.3333,25.19,88,98,2.23,ID,1667760164
163,puerto narino,-3.7703,-70.3831,33.16,41,53,0.7,CO,1667760164
164,holt,42.6406,-84.5153,18.56,43,0,10.29,US,1667760165
165,kavieng,-2.5744,150.7967,28.06,73,100,2.55,PG,1667760166
166,morgan city,29.6994,-91.2068,31.11,70,75,3.09,US,1667760164
167,yuzhou,34.1628,113.4639,14.4,63,0,1.77,CN,1667760167
168,arkhangelsk,64.5401,40.5433,-1.94,92,100,3.0,RU,1667760110
169,boulder,40.0833,-105.3505,5.72,46,100,3.6,US,1667760168
170,esterhazy,50.65,-102.0843,-5.53,89,100,11.57,CA,1667760140
171,elizabeth city,36.2946,-76.2511,28.01,62,0,4.12,US,1667760169
172,chapais,49.7834,-74.8492,11.88,66,55,7.2,CA,1667760170
173,vuktyl,63.8567,57.3094,0.19,99,100,1.89,RU,1667760171
174,opuwo,-18.0607,13.84,19.81,36,32,8.19,NA,1667760171
175,ishigaki,24.3448,124.1572,24.07,73,100,5.66,JP,1667760172
176,fairbanks,64.8378,-147.7164,-16.5,76,0,2.06,US,1667760166
177,wuwei,37.9281,102.6414,3.41,38,10,1.3,CN,1667760173
178,fortuna,40.5982,-124.1573,12.59,86,75,4.12,US,1667760173
179,orchard homes,46.8633,-114.0484,1.44,82,0,4.12,US,1667760174
180,kutum,14.2,24.6667,24.0,22,0,3.35,SD,1667760175
181,camacha,33.0833,-16.3333,19.68,73,40,2.06,PT,1667760175
